item-code	rstr-flag	schd-ind	start-date	end-date	notes-id-list	caution-id-list
1418P	A					01122015	        	7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1505F	U					01012016	        	8559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1891M	R					01042020	        	7606	7607	0	0	0	0	0	0	0	0	0	0	0	0	0	16366	0	0	0	0
1478T	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1444B	R					01092015	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1880Y	R					01102016	        	13804	7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884E	U					01042020	        	7606	7607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1472L	A					01092018	        	7901	22470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1598D	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1615B	R					01102016	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1270W	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1394J	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655D	A					01102020	        	25651	7901	25574	0	0	0	0	0	0	0	0	0	0	0	0	8211	0	0	0	0
1800R	R					01042014	        	9977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1201F	U					01042016	        	7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1095P	U					01042016	        	7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16741	0	0	0	0
1248Q	U					01012016	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16637	0	0	0	0
1590Q	R					01072016	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1636D	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1326T	A					01052019	        	7813	23717	23729	23730	7606	7607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1653B	A					01102020	        	25651	7901	25574	0	0	0	0	0	0	0	0	0	0	0	0	8211	0	0	0	0
1183G	U					01012016	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8286	0	0	0	0
1757L	A					01092018	        	7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1548L	R					01112015	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1443Y	R					01022017	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15467	0	0	0	0
1642K	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1119X	R					01062015	        	7703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1515R	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1263L	R					01122015	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1259G	R					01122015	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1245M	U					01012016	        	7703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1622J	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1644M	R					01102020	        	25598	18949	25574	0	0	0	0	0	0	0	0	0	0	0	0	8211	0	0	0	0
1330B	A					01092015	        	7703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1850J	R					01072016	        	7703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1269T	A					01102015	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13939	0	0	0	0
1531N	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1196Y	U					01042016	        	7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1906H	U					01081994	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807D	R					01072016	        	7703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1260H	R					01012016	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1128J	U					01081991	        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
